name,root_url,platform,subjects,reason_to_inspect,link_pattern,map_or_highlights,discovered_via,access_and_rights_snapshot,scope_fit,primary_category
"The Animal Impact Project","https://www.animalimpactproject.org/","Substack on custom domain","animal advocacy; farmed animals; movement strategy","A general animal-advocacy publication with practical discussion of how people and institutions affect animals.","focused root","","publication network expansion","Public HTML and RSS observed 2026-08-20; author copyright and Substack terms apply.","candidate publication","strategy"
"Alice Crary","https://alicecrary.com/","scholar website","animal ethics; moral status; philosophy","Crary argues that animals' lives can be ethically intelligible without reducing them to abstract capacities.","focused root","","publication network expansion","Public HTML observed 2026-08-20; author or publisher copyright applies.","candidate scholar","sentience"
"Zuri","https://zuri.media/","independent publication","animals; climate; justice; culture","Reporting and essays that place animals within wider questions about justice and the environment.","focused root","","publication network expansion","Public HTML observed 2026-08-20; site copyright applies.","candidate publication","strategy"
"Jeff Sebo","https://jeffsebo.net/","scholar website","animal ethics; moral circle; future; AI","Work on animals, moral status, global health, and how emerging technologies may affect nonhuman beings.","focused root","","publication network expansion","Public HTML observed 2026-08-20; author and publisher copyright applies.","candidate scholar","future"
"Josh Milburn","https://josh-milburn.com/","scholar website","animal ethics; food systems; political philosophy; technology","Work spanning animal ethics, cultivated meat, political theory, and duties toward different kinds of animals.","focused root","","publication network expansion","Public HTML observed 2026-08-20; author and publisher copyright applies.","candidate scholar","sentience"
"Tatjana Višak","https://tatjanavisak.com/","scholar website","animal ethics; killing; welfare; moral status","Philosophical work on killing animals, well-being, and the ethics of human uses of animals.","focused root","","publication network expansion","Public HTML observed 2026-08-20; author copyright applies.","candidate scholar","sentience"
"Animal Law Podcast","https://www.ourhenhouse.org/animallaw/","podcast archive","animal law; litigation; legislation; interviews","A long-running archive of interviews about animal litigation, legislation, and legal strategy.","section root","","publication network expansion","Public episode pages and audio observed 2026-08-20; Our Hen House copyright applies.","focused archive","law"
"Science and Law","https://www.scienceandlaw.org/","research and policy project","animal law; science; legal evidence","Material on how scientific evidence about animals enters legal and policy decisions.","focused root","","publication network expansion","Public HTML observed 2026-08-20; no general reuse license recorded.","focused project","law"
"Nonhuman Rights Project","https://www.nonhumanrights.org/","legal nonprofit","legal personhood; animal rights; litigation","Primary documents and explanations from litigation seeking legal rights for nonhuman animals.","root plus highlights","https://www.nonhumanrights.org/litigation/; https://www.nonhumanrights.org/client-tommy/","publication network expansion","Public HTML and case documents observed 2026-08-20; site copyright applies and public legal documents may have separate status.","focused legal source","law"
"Center for Animal Law Studies","https://law.lclark.edu/centers/animal_law_studies/","academic center","animal law; scholarship; education; policy","A major academic center with publications, events, and legal research devoted to animals.","section root","","publication network expansion","Public institutional HTML observed 2026-08-20; Lewis & Clark copyright applies.","focused academic source","law"
