name,root_url,platform,subjects,reason_to_inspect,link_pattern,map_or_highlights,discovered_via,access_and_rights_snapshot,scope_fit
"Sandcastles Blog","https://sandcastlesblog.substack.com/","Substack","advocacy strategy; prioritization; movement building","Unusually analytical writing about what animal advocates should and should not focus on.","focused root","","user seed; public subscriptions of Lewis Bollard and Bentham's Bulldog","Public HTML, RSS, archive, and sitemap; no GPTBot or Google-Extended block found 2026-08-19; author copyright and Substack terms still apply.","focused"
"The Simple Heart","https://blog.simpleheart.org/","Substack on custom domain","animal rights; rescue; moral motivation; movement strategy","Wayne Hsiung's large body of writing connects individual animals, institutions, and the psychology of moral action.","focused root","","user seed; public subscription of Lewis Bollard","Public HTML, RSS, archive, and sitemap; no GPTBot or Google-Extended block found 2026-08-19; author copyright and Substack terms still apply.","focused"
"Coefficient Giving farm animal welfare newsletter","https://farmanimalwelfare.substack.com/","Substack","factory farming; philanthropy; policy; corporate reform; food systems","Lewis Bollard's continuously updated account of farmed-animal welfare research, funding, and policy.","focused root","https://farmanimalwelfare.substack.com/p/the-protein-problem","user seed; public subscription of Aidan Kankyoku; Bentham's Bulldog; Peter Singer","Public HTML, RSS, archive, and sitemap; no GPTBot or Google-Extended block found 2026-08-19; author copyright and Substack terms still apply.","focused"
"Bold Reasoning with Peter Singer","https://boldreasoningwithpetersinger.substack.com/","Substack","applied ethics; animal ethics; effective altruism; bioethics","A broad ethics publication with recurring animal arguments from Peter Singer; specific highlights are more useful than the root alone.","root plus highlights","https://boldreasoningwithpetersinger.substack.com/p/an-extract-from-my-latest-book-the; https://boldreasoningwithpetersinger.substack.com/p/welcome-to-bold-reasoning-with-peter","user seed; public subscriptions of Lewis Bollard; Wayne Hsiung; Bentham's Bulldog; Flo Bacus","Public HTML, RSS, archive, and sitemap; no GPTBot or Google-Extended block found 2026-08-19; author copyright and Substack terms still apply.","mixed root"
"Animal Think Tank Newsletter","https://animalthinktank.substack.com/","Substack","animal freedom; framing; communications; movement strategy","Research and practical writing on language, narratives, and social-movement strategy for animals.","focused root","https://animalthinktank.substack.com/p/why-does-comparing-speciesism-to; https://animalthinktank.substack.com/p/are-we-using-language-that-makes","user seed; public subscriptions of Lewis Bollard and Bentham's Bulldog","Public HTML, RSS, archive, and sitemap; no GPTBot or Google-Extended block found 2026-08-19; author copyright and Substack terms still apply.","focused"
"Bentham's Newsletter","https://benthams.substack.com/","Substack","animal ethics; factory farming; insects; shrimp; wild-animal suffering; moral philosophy","A very large, explicit argumentative corpus spanning several animal-welfare gaps and objections.","root plus reader map","https://benthams.substack.com/p/the-core-benthams-bulldog-reader; https://benthams.substack.com/p/the-bone-chilling-evil-of-factory; https://benthams.substack.com/p/insect-suffering-is-the-biggest-issue; https://benthams.substack.com/p/most-animals-have-bad-lives","user seed; recommendations and public subscriptions across the seed network","Public HTML, RSS, archive, and sitemap; no GPTBot or Google-Extended block found 2026-08-19; author copyright and Substack terms still apply.","mixed root with excellent map"
"Moral Law Within","https://morallawwithin.substack.com/","Substack","Kantian ethics; veganism; moral philosophy","The veganism essay supplies a deontological argument, balancing a collection otherwise heavy on consequentialism.","article highlight","https://morallawwithin.substack.com/p/a-general-case-for-veganism","user seed; recommendation from Bentham's Newsletter","Public HTML, RSS, archive, and sitemap; no GPTBot or Google-Extended block found 2026-08-19; author copyright and Substack terms still apply.","mostly broad; article is strong fit"
"Animal Rising","https://animalrising.substack.com/","Substack","animal rights; nature; climate; campaigns","Campaign writing linking animal protection, ecological restoration, and climate politics.","focused root","","public subscription of Aidan Kankyoku","Public Substack publication; per-publication robots, paywall, and license need checking.","focused advocacy"
"Animal Welfare Alignment Newsletter","https://animainternational.substack.com/","Substack","AI alignment; animal welfare; future nonhuman welfare","Directly addresses whether advanced AI systems represent animal interests.","focused root","","public subscriptions of Aidan Kankyoku and Lewis Bollard","Public Substack publication; per-publication robots, paywall, and license need checking.","focused future/AI"
"Shot on Goal","https://frontieranimals.substack.com/","Substack","AI; factory farming; intelligence explosion; movement news","Explicitly asks how to end factory farming during rapid AI development.","focused root","","recommendation from Sandcastles","Public Substack publication; per-publication robots, paywall, and license need checking.","focused future/AI"
